Mathieu Chouinard,2004,2004,1,,0,0,0,0,2,2,1.000,0.00,0,3,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Scott Clemmensen,2002,2015,191,137,73,59,24,468,4931,4463,.905,2.79,7,10059,67,.489,25,,,0,3,3,4,0.0,0.0,26.4,26.4
Chris Clifford,1985,1989,2,,0,0,0,0,8,8,1.000,0.00,0,24,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Matt Climie,2009,2011,5,4,2,2,0,15,139,124,.892,3.25,0,277,1,.250,1,,,0,0,0,0,0.0,0.0,0.6,0.6
Dan Cloutier,1998,2008,351,9,139,142,37,874,8625,7751,.899,2.77,15,18927,4,.444,3,,,0,5,5,147,0.0,0.0,44.5,44.5
Jacques Cloutier,1982,1994,255,,82,102,24,778,5448,4764,.874,3.64,3,12826,,,,,,0,7,7,51,0.0,0.0,31.8,31.8
Gerald Coleman,2006,2006,2,,0,0,1,2,17,15,.882,2.79,0,43,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Les Colvin,1949,1949,1,,0,1,0,4,,,,4.00,0,60,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Ty Conklin,2002,2012,215,120,96,67,21,516,5484,4968,.906,2.69,17,11527,59,.492,24,,,0,3,3,37,0.0,0.0,31.0,31.0
Alec Connell*,1925,1937,417,,193,156,67,830,,,,1.91,81,26050,,,,,,0,0,0,4,0.0,0.0,85.4,85.4
Jim Corsi,1980,1980,26,,8,14,3,83,,,,3.65,0,1366,,,,,,0,3,3,6,0.0,0.0,3.4,3.4
Maurice Courteau,1944,1944,6,,2,4,0,33,,,,5.50,0,360,,,,,,0,0,0,0,0.0,0.0,0.4,0.4
Marcel Cousineau,1997,2000,26,,4,10,1,51,509,458,.900,2.92,1,1047,,,,,,0,1,1,0,0.0,0.0,2.6,2.6
Wayne Cowley,1994,1994,1,,0,1,0,3,35,32,.914,3.16,0,57,,,,,,0,0,0,0,0.0,0.0,0.2,0.2
Abbie Cox,1930,1936,5,,1,1,2,11,,,,2.51,0,263,,,,,,0,0,0,0,0.0,0.0,0.6,0.6
Jim Craig,1980,1984,30,,11,10,7,100,56,47,.839,3.78,0,1588,,,,,,0,1,1,11,0.0,0.0,4.2,4.2
Corey Crawford,2006,2015,264,249,146,76,34,594,7079,6485,.916,2.35,12,15177,150,.602,30,,,0,3,3,10,0.0,0.0,45.1,45.1
Jiri Crha,1980,1981,69,,28,27,11,261,,,,3.97,0,3942,,,,,,0,1,1,12,0.0,0.0,9.4,9.4
Roger Crozier,1964,1977,518,,206,197,70,1446,,,,3.04,30,28567,,,,,,0,3,3,42,0.0,0.0,76.2,76.2
Wilf Cude,1931,1941,282,,100,132,49,798,,,,2.72,24,17586,,,,,,0,0,0,0,0.0,0.0,33.9,33.9
John Curry,2009,2015,8,5,3,2,1,20,165,145,.879,3.68,0,326,2,.400,2,,,0,0,0,0,0.0,0.0,0.4,0.4
Don Cutts,1980,1980,6,,1,2,1,16,,,,3.57,0,269,,,,,,0,0,0,6,0.0,0.0,0.7,0.7
Claude Cyr,1959,1959,1,,0,0,0,1,,,,3.00,0,20,,,,,,0,0,0,0,0.0,0.0,0.1,0.1
Corrie D'Alessio,1993,1993,1,,0,0,0,0,3,3,1.000,0.00,0,11,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
Marc D'Amour,1986,1989,16,,2,4,2,32,324,292,.901,3.32,0,579,,,,,,0,0,0,22,0.0,0.0,2.3,2.3
Doug Dadswell,1987,1988,27,,8,8,3,99,701,602,.859,4.41,0,1346,,,,,,0,2,2,2,0.0,0.0,2.6,2.6
Byron Dafoe,1993,2004,415,,171,170,56,1051,10897,9846,.904,2.69,26,23478,,,,,,0,8,8,68,0.0,0.0,62.1,62.1
Joe Daley,1969,1972,105,,34,44,19,326,,,,3.35,3,5836,,,,,,0,1,1,16,0.0,0.0,12.9,12.9
